"","unique.cellid","unique.tissueid","CGP.cellid","CCLE.cellid","GSK.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","GDSC_rnaseq.cellid","CCLE_exome.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","gCSI.cellid","GDSC1000.cellid","NCI60.cellid","PRISM.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Cescon.cellid","Ben_Neel.tissueid","COSMIC.tissueid","CTRPv2.tissueid","gCSI.tissueid","GDSC1000.tissueid","Cleveland.cellid","Cleveland.tissueid","FIMM.cellid","FIMM.tissueid","NCI60.tissueid","PRISM.tissueid","Cellosaurus.Accession.id","PharmacoDB.id","GDSC_Exome.cellid","unique.tissueid.fromstudies","Cellosaurus.Disease.Type","CellLine.Type","Metastatic","DepMap.cellid","MITMel.cellid","MITMel.tissueid","VISAGE.cellid","VISAGE.tissueid"
"1100","MDA-MB-435S","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDA-MB-435S","MDAMB435S_SKIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Breast Cancer","skin","CVCL_0622","MDA-MB-435S11012021_",NA,NA,NA,NA,NA,"ACH-000884",NA,NA,NA,NA
"1101","MDA-MB-436","Breast",NA,"MDA-MB-436",NA,"MDAMB436","MDA-MB-436",NA,"MDA-MB-436",NA,"MDA-MB-436","MDA-MB-436","MDA-MB-436","mdamb436///mda436",NA,"MDA-MB-436","MDA-MB-436",NA,"MDAMB436_BREAST",NA,"breast",NA,"breast","Breast",NA,"breast","breast",NA,"7-mda436///MDA436","breast","breast",NA,"Breast","breast",NA,NA,"MDAMB436","breast",NA,"breast","CVCL_0623","MDAMB436_905_2019","MDA-MB-436","breast","Invasive ductal carcinoma, not otherwise specified","Cancer cell line",TRUE,"ACH-000573",NA,NA,NA,NA
"1102","MDA-MB-453","Breast","MDA-MB-453","MDA-MB-453","MDAMB453","MDAMB453","MDA-MB-453",NA,"MDA-MB-453",NA,"MDA-MB-453","MDA-MB-453","MDA-MB-453","mdamb453","MDAMB453","MDA-MB-453","MDA-MB-453",NA,NA,"breast","breast","breast","breast","Breast",NA,"Breast","breast","breast",NA,"breast","breast","breast","Breast","breast","MDAMB453","breast","MDAMB453","breast",NA,NA,"CVCL_0418","MDAMB453_906_2019","MDA-MB-453","breast","Breast adenocarcinoma","Cancer cell line",TRUE,"ACH-000910",NA,NA,NA,NA
"1103","MDA-MB-468","Breast","MDA-MB-468","MDA-MB-468","MDAMB468","MDAMB468","MDA-MB-468",NA,"MDA-MB-468",NA,"MDA-MB-468","MDA-MB-468","MDA-MB-468","mdamb468///mda468","MDAMB468","MDA-MB-468","MDA-MB-468","MDA-MB-468","MDAMB468_BREAST","breast","breast","breast","breast","Breast",NA,"breast","breast","breast","10-mda468///MDA468","breast","breast","breast","Breast","breast","MDAMB468","breast","MDAMB468","breast","Breast Cancer","breast","CVCL_0419","MDAMB468_907_2019","MDA-MB-468","breast","Breast adenocarcinoma","Cancer cell line",TRUE,"ACH-000849",NA,NA,NA,NA
"1104","MDA-PCa-2b","Prostate",NA,"MDA PCa 2b",NA,NA,NA,NA,NA,NA,"MDA_PCa_2b","MDA_PCa_2b",NA,NA,NA,NA,NA,NA,NA,NA,"prostate",NA,NA,NA,NA,NA,"prostate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_4748","MDAPCa2b_896_2019",NA,"prostate","Prostate carcinoma","Cancer cell line",TRUE,"ACH-000952",NA,NA,NA,NA
"1105","MDST8","Bowel",NA,"MDST8",NA,NA,"MDST8","MDST8","MDST8","MDST8","MDST8","MDST8","MDST8",NA,"MDST8","MDST8","MDST8",NA,NA,NA,"large_intestine",NA,NA,"Colon","LARGE_INTESTINE","Intestine","large_intestine",NA,NA,NA,"large_intestine","large_intestine",NA,"large_intestine",NA,NA,NA,NA,NA,NA,"CVCL_2588","MDST8_908_2019","MDST8","large_intestine","Colon carcinoma","Cancer cell line",NA,"ACH-000935",NA,NA,NA,NA
"1106","ME-1 [Human leukemia]","Myeloid",NA,"ME-1",NA,NA,"ME-1",NA,"ME-1",NA,"ME-1","ME-1","ME-1",NA,"ME1","ME-1","ME-1",NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,"Bone Marrow",NA,"Blood","haematopoietic_and_lymphoid_tissue",NA,NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_2110","ME1_909_2019","ME-1","haematopoietic_and_lymphoid_tissue","Adult acute myeloid leukemia","Cancer cell line",NA,"ACH-000439",NA,NA,NA,NA
"1107","ME-180","Cervix","ME-180",NA,NA,NA,"ME-180",NA,"ME-180","ME-180",NA,NA,"ME-180",NA,NA,"ME-180","ME-180",NA,NA,"cervix",NA,NA,NA,"Cervix",NA,"Cervix",NA,"urogenital_system",NA,NA,"cervix",NA,"Cervix","cervix",NA,NA,NA,NA,NA,NA,"CVCL_1401","ME180_910_2019","ME-180","cervix","Human papillomavirus-related cervical squamous cell carcinoma","Cancer cell line",TRUE,"ACH-001359",NA,NA,NA,NA
"1108","ME:MDA_N","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDA-N///ME.MDA.N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Melanoma",NA,"CVCL_1910","ME:MDA_N11092021_",NA,"skin",NA,"Cancer cell line",TRUE,NA,NA,NA,NA,NA
"1109","MEC-1","Lymphoid",NA,"MEC-1","MEC1",NA,NA,NA,"MEC-1",NA,"MEC-1","MEC-1",NA,NA,"MEC1",NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system",NA,NA,NA,"Blood","haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1870","MEC1_911_2019",NA,"haematopoietic_and_lymphoid_tissue","Chronic lymphocytic leukemia","Cancer cell line",NA,"ACH-000405",NA,NA,NA,NA
"1110","MEC-2","Lymphoid",NA,"MEC-2",NA,NA,NA,NA,"MEC-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,"Blood",NA,NA,NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1871","MEC2_912_2019",NA,"haematopoietic_and_lymphoid_tissue","Chronic lymphocytic leukemia","Cancer cell line",NA,"ACH-001121",NA,NA,NA,NA
"1111","MEG-01","Myeloid","MEG-01","MEG-01","MEG01",NA,NA,NA,"MEG-01",NA,"MEG-01","MEG-01","MEG-01",NA,NA,NA,"MEG-01",NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system",NA,NA,NA,"Blood","haematopoietic_and_lymphoid_tissue","blood",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_0425","MEG01_913_2019","MEG-01","haematopoietic_and_lymphoid_tissue","Chronic myelogenous leukemia, BCR-ABL1 positive","Cancer cell line",NA,"ACH-000072",NA,NA,NA,NA
"1112","MES-SA","Uterus","MES-SA","MES-SA","MESSA",NA,NA,NA,"MES-SA",NA,"MES-SA","MES-SA","MES-SA",NA,"MESSA","MES-SA","MES-SA",NA,"MESSA_SOFT_TISSUE","endometrium","soft_tissue","uterus",NA,NA,NA,"Uterus","endometrium","urogenital_system",NA,NA,"endometrium","soft_tissue","Uterus","endometrium","MESSA","soft_tissue",NA,NA,NA,"uterus","CVCL_1404","MESSA_916_2019","MES-SA","endometrium","Uterine corpus sarcoma","Cancer cell line",NA,"ACH-000449",NA,NA,NA,NA
"1113","MET-2B","Skin",NA,NA,NA,NA,NA,NA,"MET-2B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Skin",NA,NA,NA,NA,NA,NA,NA,"skin",NA,NA,NA,NA,NA,NA,"CVCL_VS57","MET2B_917_2019",NA,"skin","Melanoma","Cancer cell line",NA,"ACH-002388",NA,NA,NA,NA
"1114","MEXF 514L","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEXF 514L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Melanoma",NA,"CVCL_D129","MEXF 514L11152021_",NA,NA,"Melanoma","Cancer cell line",NA,NA,NA,NA,NA,NA
"1115","MFE-280","Uterus","MFE-280","MFE-280",NA,NA,NA,NA,"MFE-280",NA,"MFE-280","MFE-280","MFE-280",NA,NA,NA,"MFE-280",NA,"MFE280_ENDOMETRIUM","endometrium","endometrium",NA,NA,NA,NA,"Uterus","endometrium","urogenital_system",NA,NA,"endometrium",NA,NA,"endometrium",NA,NA,NA,NA,NA,"uterus","CVCL_1405","MFE280_919_2019","MFE-280","endometrium","Endometrial adenocarcinoma","Cancer cell line",NA,"ACH-000192",NA,NA,NA,NA
"1116","MFE-296","Uterus","MFE-296","MFE-296",NA,NA,NA,NA,"MFE-296",NA,"MFE-296","MFE-296","MFE-296",NA,"MFE296",NA,"MFE-296",NA,"MFE296_ENDOMETRIUM","endometrium","endometrium",NA,NA,NA,NA,"endometrium","endometrium",NA,NA,NA,"endometrium","endometrium",NA,"endometrium","MFE296","endometrium",NA,NA,NA,"uterus","CVCL_1406","MFE296_920_2019","MFE-296","endometrium","Endometrial adenocarcinoma","Cancer cell line",NA,"ACH-000879",NA,NA,NA,NA
"1117","MFE-319","Uterus",NA,"MFE-319",NA,NA,NA,"MFE319","MFE-319",NA,"MFE-319","MFE-319","MFE-319",NA,"MFE319",NA,"MFE-319",NA,"MFE319_ENDOMETRIUM",NA,"endometrium",NA,NA,NA,"ENDOMETRIUM","Uterus","endometrium",NA,NA,NA,"endometrium","endometrium",NA,"endometrium","MFE319","endometrium",NA,NA,NA,"uterus","CVCL_2112","MFE319_921_2019","MFE-319","endometrium","Endometrial adenosquamous carcinoma","Cancer cell line",NA,"ACH-000988",NA,NA,NA,NA
"1118","MFH-ino","Soft Tissue","MFH-ino",NA,NA,NA,NA,NA,"MFH-ino","MFH-ino",NA,NA,"MFH-ino",NA,NA,NA,"MFH-ino",NA,NA,"soft_tissue",NA,NA,NA,NA,NA,"Misc",NA,"soft_tissue",NA,NA,"soft_tissue",NA,NA,"soft_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1407","MFHino_922_2019","MFH-ino","soft_tissue","Undifferentiated pleomorphic sarcoma","Cancer cell line",NA,"ACH-002271",NA,NA,NA,NA
"1119","MFM-223","Breast","MFM-223",NA,NA,"MFM223","MFM-223",NA,"MFM-223","MFM-223",NA,NA,"MFM-223","mfm223///mfn223",NA,"MFM-223","MFM-223",NA,NA,"breast",NA,NA,"breast","Breast",NA,"Breast",NA,"breast","MFM223///MFN223","breast","breast",NA,"Breast","breast",NA,NA,"MFM223","breast",NA,NA,"CVCL_1408","MFM223_923_2019","MFM-223","breast","Breast carcinoma","Cancer cell line",TRUE,"ACH-001819",NA,NA,NA,NA
"1120","MG-63","Bone","MG-63","MG-63","MG63",NA,"MG-63",NA,"MG-63",NA,"MG-63","MG-63","MG-63",NA,"MG63","MG-63","MG-63",NA,"MG63_BONE","bone","bone","bone",NA,"Bone",NA,"Bone","bone","bone",NA,NA,"bone","bone","Bone","bone","MG63","bone",NA,NA,NA,"bone","CVCL_0426","MG63_924_2019","MG-63","bone","Osteosarcoma","Cancer cell line",NA,"ACH-000359",NA,NA,NA,NA
"1121","MHH-CALL-2","Lymphoid","MHH-CALL-2","MHH-CALL-2",NA,NA,NA,NA,"MHH-CALL-2",NA,"MHH-CALL-2","MHH-CALL-2","MHH-CALL-2",NA,NA,NA,"MHH-CALL-2",NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","blood",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1409","MHHCALL2_925_2019","MHH-CALL-2","haematopoietic_and_lymphoid_tissue","Childhood B acute lymphoblastic leukemia","Cancer cell line",NA,"ACH-000020",NA,NA,NA,NA
"1122","MHH-CALL-3","Lymphoid",NA,"MHH-CALL-3",NA,NA,NA,NA,NA,NA,"MHH-CALL-3","MHH-CALL-3",NA,NA,"MHHCALL3",NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_0089","MHHCALL3_926_2019",NA,"haematopoietic_and_lymphoid_tissue","Childhood B acute lymphoblastic leukemia","Cancer cell line",NA,"ACH-000032",NA,NA,NA,NA
"1123","MHH-CALL-4","Lymphoid","MHH-CALL-4","MHH-CALL-4",NA,NA,NA,NA,"MHH-CALL-4",NA,"MHH-CALL-4","MHH-CALL-4","MHH-CALL-4",NA,"MHHCALL4",NA,"MHH-CALL-4",NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1410","MHHCALL4_927_2019","MHH-CALL-4","haematopoietic_and_lymphoid_tissue","Childhood B acute lymphoblastic leukemia","Cancer cell line",NA,"ACH-000156",NA,NA,NA,NA
"1124","MHH-ES-1","Bone","MHH-ES-1","MHH-ES-1",NA,NA,"MHH-ES-1",NA,NA,NA,"MHH-ES-1","MHH-ES-1","MHH-ES-1",NA,"MHHES1","MHH-ES-1","MHH-ES-1",NA,"MHHES1_BONE","bone","bone",NA,NA,"Bone",NA,NA,"bone","bone",NA,NA,"bone","bone","Bone","bone","MHHES1","bone",NA,NA,NA,"bone","CVCL_1411","MHHES1_928_2019","MHH-ES-1","bone","Ewing sarcoma","Cancer cell line",TRUE,"ACH-000391",NA,NA,NA,NA
"1125","MHH-NB-11","Peripheral Nervous System","MHH-NB-11","MHH-NB-11",NA,NA,"MHH-NB-11",NA,"MHH-NB-11",NA,"MHH-NB-11","MHH-NB-11","MHH-NB-11",NA,"MHHNB11","MHH-NB-11","MHH-NB-11",NA,NA,"autonomic_ganglia","autonomic_ganglia",NA,NA,"Brain",NA,"autonomic_ganglia","autonomic_ganglia","nervous_system",NA,NA,"autonomic_ganglia","autonomic_ganglia",NA,"autonomic_ganglia","MHHNB11","autonomic_ganglia",NA,NA,NA,NA,"CVCL_1412","MHHNB11_929_2019","MHH-NB-11","autonomic_ganglia","Neuroblastoma","Cancer cell line",TRUE,"ACH-000078",NA,NA,NA,NA
"1126","MHH-PREB-1","Lymphoid","MHH-PREB-1",NA,"MHHPREB1",NA,"MHH-PREB-1",NA,"MHH-PREB-1","MHH-PREB-1",NA,NA,"MHH-PREB-1",NA,NA,"MHH-PREB-1","MHH-PREB-1",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,"hematopoietic_and_lymphatic_system",NA,"Lymph Node",NA,"Blood",NA,"blood",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,"Lymphoid","haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1413","MHHPREB1_930_2019","MHH-PREB-1","haematopoietic_and_lymphoid_tissue","B-cell non-Hodgkin lymphoma","Cancer cell line",NA,"ACH-002272",NA,NA,NA,NA
"1127","MHM","Bone",NA,NA,NA,NA,NA,NA,NA,"MHM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bone",NA,NA,NA,NA,NA,NA,"CVCL_B426","MHM11282021_",NA,"bone","Osteosarcoma","Cancer cell line",NA,NA,NA,NA,NA,NA
"1128","MIA PaCa-2","Pancreas","MIA-PaCa-2","MIA PaCa-2","MIAPACA2",NA,"MIA Paca-2",NA,"MIA-PaCa-2",NA,"MIA_PaCa-2","MIA_PaCa-2","MIA-PaCa-2",NA,"MIAPACA2","MIA Paca-2","MIA-PaCa-2",NA,"MIAPACA2_PANCREAS","pancreas","pancreas","pancreas",NA,"Pancreas",NA,"Pancreas","pancreas","pancreas",NA,NA,"pancreas","pancreas","Pancreas","pancreas","MIAPaCa2","pancreas",NA,NA,NA,"pancreas","CVCL_0428","MIAPaCa2_931_2019","MIA-PaCa-2","pancreas","Pancreatic ductal adenocarcinoma","Cancer cell line",NA,"ACH-000601",NA,NA,NA,NA
"1129","MJ","Lymphoid","MJ","MJ","MJ",NA,NA,NA,NA,NA,"MJ","MJ",NA,NA,"MJ",NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system",NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_1414","MJ_933_2019",NA,"haematopoietic_and_lymphoid_tissue","Cutaneous T-cell non-Hodgkin lymphoma","Cancer cell line",NA,"ACH-000077",NA,NA,NA,NA
"1130","MKL-1","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2600","MKL-111312021_",NA,NA,NA,NA,NA,"ACH-001122",NA,NA,NA,NA
"1131","MKL-1 subclone 2","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_EQ71","MKL1subclone2_934_2019",NA,"skin","Merkel cell carcinoma","Cancer cell line",TRUE,NA,NA,NA,NA,NA
"1132","MKL-2","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_D027","MKL2_935_2019",NA,"skin","Merkel cell carcinoma","Cancer cell line",NA,"ACH-001123",NA,NA,NA,NA
"1133","MKN1","Esophagus/Stomach","MKN1","MKN1",NA,NA,"MKN-1",NA,"MKN1",NA,"MKN1","MKN1","MKN1",NA,"MKN1","MKN-1","MKN1",NA,"MKN1_STOMACH","stomach","stomach",NA,NA,"Stomach",NA,"Stomach","stomach","digestive_system",NA,NA,"stomach","stomach","Stomach","stomach",NA,NA,NA,NA,NA,"gastric","CVCL_1415","MKN1_936_2019","MKN1","stomach","Gastric adenosquamous carcinoma","Cancer cell line",TRUE,"ACH-000351",NA,NA,NA,NA
"1134","MKN28","Esophagus/Stomach","MKN28",NA,NA,NA,NA,NA,"MKN28","MKN28",NA,NA,"MKN28",NA,NA,NA,"MKN28",NA,NA,"stomach",NA,NA,NA,NA,NA,"Stomach",NA,"digestive_system",NA,NA,"stomach",NA,NA,"stomach",NA,NA,NA,NA,NA,NA,"CVCL_1416","MKN28_937_2019","MKN28","stomach","Gastric tubular adenocarcinoma","Cancer cell line",TRUE,"ACH-002161",NA,NA,NA,NA
"1135","MKN45","Esophagus/Stomach","MKN45","MKN-45",NA,NA,"MKN-45",NA,"MKN45",NA,"MKN-45","MKN-45","MKN45",NA,"MKN45","MKN-45","MKN45",NA,"MKN45_STOMACH","stomach","stomach",NA,NA,"Stomach",NA,"Stomach","stomach","digestive_system",NA,NA,"stomach","stomach","Stomach","stomach","MKN45","stomach",NA,NA,NA,"gastric","CVCL_0434","MKN45_938_2019","MKN45","stomach","Gastric adenocarcinoma","Cancer cell line",TRUE,"ACH-000356",NA,NA,NA,NA
"1136","MKN7","Esophagus/Stomach","MKN7","MKN7",NA,NA,"MKN-7","MKN7","MKN7",NA,"MKN7","MKN7","MKN7",NA,"MKN7","MKN-7","MKN7",NA,"MKN7_STOMACH","stomach","stomach",NA,NA,"Stomach","STOMACH","Stomach","stomach","digestive_system",NA,NA,"stomach","stomach",NA,"stomach","MKN7","stomach",NA,NA,NA,"gastric","CVCL_1417","MKN7_939_2019","MKN7","stomach","Gastric tubular adenocarcinoma","Cancer cell line",TRUE,"ACH-000678",NA,NA,NA,NA
"1137","MKN74","Esophagus/Stomach",NA,"MKN74",NA,NA,"MKN-74","MKN74",NA,NA,"MKN74","MKN74",NA,NA,"MKN74","MKN-74",NA,NA,"MKN74_STOMACH",NA,"stomach",NA,NA,"Stomach","STOMACH",NA,"stomach",NA,NA,NA,"stomach","stomach","Stomach",NA,"MKN74","stomach",NA,NA,NA,"gastric","CVCL_2791","MKN74_940_2019",NA,"stomach","Gastric tubular adenocarcinoma","Cancer cell line",TRUE,"ACH-000758",NA,NA,NA,NA
"1138","ML-1 [Human thyroid carcinoma]","Thyroid",NA,"ML-1",NA,NA,NA,NA,"ML-1",NA,"ML-1","ML-1","ML-1",NA,"ML1",NA,"ML-1",NA,NA,NA,"thyroid",NA,NA,NA,NA,"Thyroid","haematopoietic_and_lymphoid_tissue",NA,NA,NA,"haematopoietic_and_lymphoid_tissue","thyroid",NA,"haematopoietic_and_lymphoid_tissue","ML1","thyroid",NA,NA,NA,NA,"CVCL_H525","ML1_941_2019","ML-1","haematopoietic_and_lymphoid_tissue","Thyroid gland follicular carcinoma","Cancer cell line",NA,"ACH-000058",NA,NA,NA,NA
"1139","ML-2","Myeloid","ML-2",NA,"ML2",NA,"ML-2",NA,"ML-2","ML-2",NA,NA,"ML-2",NA,NA,"ML-2","ML-2",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,"hematopoietic_and_lymphatic_system",NA,"Bone Marrow",NA,"Blood",NA,"blood",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,"Bone Marrow","haematopoietic_and_lymphoid_tissue",NA,NA,"ML2","blood",NA,NA,"CVCL_1418","ML2_942_2019","ML-2","haematopoietic_and_lymphoid_tissue","Adult acute myeloid leukemia","Cancer cell line",NA,"ACH-002273",NA,NA,NA,NA
"1140","MLI-019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MLI-019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-Small Cell Lung Cancer",NA,NA,"MLI-01911412021_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1141","MLI-045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MLI-045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-Small Cell Lung Cancer",NA,NA,"MLI-04511422021_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1142","MLI-059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MLI-059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colon Cancer",NA,NA,"MLI-05911432021_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1143","MLI-076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MLI-076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-Small Cell Lung Cancer",NA,NA,"MLI-07611442021_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1144","MLMA","Lymphoid","MLMA",NA,NA,NA,NA,NA,"MLMA","MLMA",NA,NA,"MLMA",NA,NA,NA,"MLMA",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,"blood",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1419","MLMA_943_2019","MLMA","haematopoietic_and_lymphoid_tissue","Hairy cell leukemia","Cancer cell line",NA,"ACH-002274",NA,NA,NA,NA
"1145","MM1.S","Lymphoid",NA,"MM1-S",NA,NA,"MM.1S",NA,"MM1S",NA,"MM1-S","MM1-S","MM1S",NA,"MM1S","MM.1S","MM1S",NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,"Blood",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_8792","MM1S_944_2019","MM1S","haematopoietic_and_lymphoid_tissue","Plasma cell myeloma","Cancer cell line",NA,"ACH-000763",NA,NA,NA,NA
"1146","MM127","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2601","MM12711472021_",NA,NA,NA,NA,NA,"ACH-001563",NA,NA,NA,NA
"1147","MM1610113","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MM161011311482021_",NA,NA,NA,NA,NA,"ACH-002512",NA,NA,NA,NA
"1148","MM253","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2604","MM25311492021_",NA,NA,NA,NA,NA,"ACH-001970",NA,NA,NA,NA
"1149","MM370","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2605","MM37011502021_",NA,NA,NA,NA,NA,"ACH-001566",NA,NA,NA,NA
"1150","MM383","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2606","MM38311512021_",NA,NA,NA,NA,NA,"ACH-001567",NA,NA,NA,NA
